Marca temporal,"Evalúe su nivel de competencia en el uso de plataformas LMS (Moodle, Canvas, Google Classroom).",¿Con qué frecuencia diseña actividades interactivas en entornos digitales?,¿Qué tan competente se siente para adaptar materiales a estudiantes con discapacidad?,¿Ha recibido formación específica sobre el uso pedagógico de TIC en su institución?,¿Considera que su institución brinda apoyo suficiente para fortalecer sus competencias digitales?,¿Evalúe su competencia para crear recursos educativos con Canva Genially u otras?,¿Utiliza repositorios abiertos de recursos académicos y científicos    ?,¿Con qué frecuencia adapta sus contenidos digitales a la diversidad estudiantil?,¿Con que frecuencia utiliza herramientas colaborativas como Google Docs o Padlet? con sus estudiantes,"¿Con qué frecuencia participa en comunidades virtuales o redes digitales de docentes para compartir recursos, estrategias o experiencias pedagógicas? ","¿Utiliza herramientas como (Kahoot, Socrative, Moodle) para la evaluación formativa?",¿Qué tan competente se considera en el diseño y uso de rúbricas digitales para evaluar el aprendizaje de sus estudiantes? ,"¿Con qué frecuencia utiliza medios digitales (video, audio o texto) para ofrecer retroalimentación personalizada a sus estudiantes? ","¿Con qué frecuencia utiliza herramientas de IA (ChatGPT, Copilot, Gamma, Bard, etc.) en su enseñanza?",¿Ha recibido formación específica sobre IA aplicada a la educación?,¿En qué medida considera que la inteligencia artificial puede apoyar y complementar su retroalimentación docente? ,¿En qué medida considera que la inteligencia artificial contribuye a personalizar el aprendizaje de sus estudiantes? ,¿Percibe que el uso de la inteligencia artificial en el aula implica la necesidad de abordar temas éticos con sus estudiantes? ,¿Cree que la IA puede favorecer la inclusión educativa?,¿Considera que la IA le ahorra tiempo en tareas repetitivas?,¿Conoce la metodología COIL (Collaborative Online International Learning)?,¿Conoce el marco DigCompEdu de la Unión Europea sobre competencias digitales docentes?,¿Conoce el marco ICT-CFT de la UNESCO sobre competencias digitales docentes?,"¿Conoce que existen criterios internacionales para evaluar competencias digitales docentes (niveles: básico, intermedio, avanzado)?",¿Seleccione su nivel de competencias digitales docentes de acuerdo al marco europeo DigCompEdu?,¿En qué áreas considera tener mayor dominio en el uso de tecnologías digitales? (marque todas las que correspondan),¿Cuáles son las principales dificultades que enfrenta al integrar TIC o IA en su práctica docente? (marque todas las que correspondan),¿Considera que sus competencias digitales actuales son adecuadas para implementar estrategias pedagógicas que promuevan aprendizajes significativos en entornos virtuales?,¿En qué medida sus competencias digitales contribuyen a generar aprendizajes significativos en sus estudiantes? ,Mencione las principales ventajas que ha encontrado al usar plataformas virtuales en su institución.,¿Qué limitaciones ha enfrentado en el uso de herramientas digitales en su práctica docente?,"En su opinión, ¿qué competencias digitales son esenciales para un docente de educación superior?",¿De qué manera el uso de herramientas digitales ha influido en sus estrategias o criterios para evaluar el aprendizaje de sus estudiantes? ,¿Qué retos técnicos o dilemas éticos ha experimentado o considera que podría enfrentar al integrar herramientas de inteligencia artificial en el aula? ,INSTITUCIÓN DE EDUCACIÓN SUPERIOR
2025-10-29 15:02:13.207,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,Crea nuevas prácticas y difunde experiencias innovadoras.,"Creación y adaptación de contenidos digitales., Comunicación y colaboración digital con estudiantes o colegas., Evaluación digital (rúbricas, cuestionarios en línea, retroalimentación digital)., Desarrollo profesional y formación continua en competencias digitales, Uso de inteligencia artificial y tecnologías emergentes.","Infraestructura tecnológica insuficiente, Conectividad limitada., Falta de formación docente continua., Sobrecarga laboral o falta de tiempo., Escaso apoyo institucional., Resistencia al cambio o cultura digital limitada.","Sí, totalmente adecuadas.",Totalmente: Las competencias digitales transforman de forma clara los aprendizajes.,"Las plataformas virtuales han facilitado la comunicación constante con los estudiantes, permitiendo compartir recursos educativos de forma rápida y organizada. Además, promueven el aprendizaje autónomo, la retroalimentación inmediata y la flexibilidad en los tiempos y espacios de estudio. También han fortalecido el trabajo colaborativo mediante foros, videoconferencias y actividades interactivas.","Entre las principales limitaciones se encuentran los problemas de conectividad y el acceso desigual a dispositivos tecnológicos por parte de algunos estudiantes. Además, ciertas herramientas presentan una curva de aprendizaje que requiere tiempo para su dominio. En ocasiones, la sobrecarga de plataformas y la falta de capacitación técnica pueden dificultar la integración efectiva de las TIC en el proceso de enseñanza-aprendizaje.","Las competencias más importantes son: el dominio de herramientas digitales para la gestión del aula virtual, la creación de recursos multimedia, la comunicación efectiva en entornos digitales, la seguridad y ética digital, y la capacidad de evaluar el aprendizaje mediante tecnologías. También resulta esencial la competencia pedagógica digital, que implica seleccionar y adaptar las herramientas según las necesidades de los estudiantes y los objetivos de aprendizaje.","El uso de herramientas digitales ha permitido implementar evaluaciones más dinámicas, participativas y personalizadas. Plataformas como formularios, foros y cuestionarios interactivos facilitan la evaluación continua y la retroalimentación inmediata. Asimismo, las analíticas de aprendizaje ofrecen datos objetivos sobre el progreso de los estudiantes, lo que permite ajustar las estrategias pedagógicas y fomentar una evaluación más formativa y reflexiva.","En el ámbito ético, surgen dilemas relacionados con la protección de datos personales, la veracidad de la información generada por la IA y el riesgo de que los estudiantes dependan excesivamente de estas herramientas, afectando su pensamiento crítico y creatividad. También preocupa el uso de contenidos generados por IA sin un adecuado reconocimiento de autoría y la posibilidad de sesgos en los algoritmos que podrían influir en la equidad educativa.",UNIVERSIDAD CATÓLICA DE CUENCA
2025-10-29 15:41:05.429,4,2,1,5,5,2,2,2,1,3,3,4,3,4,2,5,5,4,4,5,1,1,1,1,"Uso limitado, aplica TIC en actividades simples.","Creación y adaptación de contenidos digitales., Comunicación y colaboración digital con estudiantes o colegas., Evaluación digital (rúbricas, cuestionarios en línea, retroalimentación digital)., Desarrollo profesional y formación continua en competencias digitales, Uso de inteligencia artificial y tecnologías emergentes.","Conectividad limitada., Falta de formación docente continua., Sobrecarga laboral o falta de tiempo., Resistencia al cambio o cultura digital limitada.",Poco adecuadas.,Totalmente: Las competencias digitales transforman de forma clara los aprendizajes.,Mayor rapidez en la presentación de trabajos,La práctica y no se adaptan a la parte matematica ,La IA,"Mucho, porque se crean más actividades ",Los estudiantes dejan de leer por la IA,UNIVERSIDAD CATÓLICA DE CUENCA
2025-10-29 15:41:18.827,3,4,2,4,3,4,3,3,1,1,4,4,3,4,4,4,3,5,5,5,2,1,1,1,Uso autónomo y regular de TIC en la enseñanza.,"Creación y adaptación de contenidos digitales., Evaluación digital (rúbricas, cuestionarios en línea, retroalimentación digital)., Uso de inteligencia artificial y tecnologías emergentes.","Infraestructura tecnológica insuficiente, Sobrecarga laboral o falta de tiempo., Escaso apoyo institucional.",Parcialmente adecuadas.,Moderadamente: Las competencias digitales pueden apoyar algunos aprendizajes.,Reducir tiempos en procesos enseñanza,Falta de Tiempo,.,.,Concientizar que el abuso de la IA implica la involucion de capacidades tales como creatividad y la de solución de problemas ,UNIVERSIDAD CATÓLICA DE CUENCA
2025-10-29 18:40:11.363,4,4,3,4,4,3,4,4,4,2,4,3,4,4,4,5,4,4,4,5,2,2,2,2,Uso autónomo y regular de TIC en la enseñanza.,"Creación y adaptación de contenidos digitales., Evaluación digital (rúbricas, cuestionarios en línea, retroalimentación digital)., Desarrollo profesional y formación continua en competencias digitales, Uso de inteligencia artificial y tecnologías emergentes.","Falta de formación docente continua., Sobrecarga laboral o falta de tiempo., Escaso apoyo institucional.",Parcialmente adecuadas.,Bastante: Las competencias digitales potencian la enseñanza y la comprensión.,Facilidad para calificar.,La necesidad de poseer licencias que en muchos casos son costosas ,Saber utilizar las herramientas de forma adecuada ,Me a permitido agudizar la detención del mal uso de IA en trabajos ,El copy anda paste ,UNIVERSIDAD CATÓLICA DE CUENCA
2025-10-29 19:45:23.969,4,5,4,5,5,4,3,3,3,2,5,5,5,3,4,4,3,5,5,5,1,1,1,2,Uso autónomo y regular de TIC en la enseñanza.,"Evaluación digital (rúbricas, cuestionarios en línea, retroalimentación digital).",Sobrecarga laboral o falta de tiempo.,Parcialmente adecuadas.,Moderadamente: Las competencias digitales pueden apoyar algunos aprendizajes.,Optimización de tiempo,"Tiempo limitada, varias asignaturas ",,Los estudiantes captan mejor los conceptos con temas interactivos,,INSTITUTO SUPERIOR TECNOLÓGICO DEL AZUAY
2025-10-30 09:14:45.203,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,"Uso muy básico de TIC, con apoyo frecuente",Creación y adaptación de contenidos digitales.,Infraestructura tecnológica insuficiente,Parcialmente adecuadas.,Moderadamente: Las competencias digitales pueden apoyar algunos aprendizajes.,es buena,falta internet,es importante todas,mejorar la practica docente,la IA,UNIVERSIDAD NACIONAL DE LOJA
2025-10-30 09:31:44.830,3,3,2,5,3,3,4,3,3,4,2,4,4,4,5,4,2,5,5,5,1,1,1,3,Uso autónomo y regular de TIC en la enseñanza.,"Evaluación digital (rúbricas, cuestionarios en línea, retroalimentación digital)., Desarrollo profesional y formación continua en competencias digitales, Uso de inteligencia artificial y tecnologías emergentes.",Sobrecarga laboral o falta de tiempo.,Parcialmente adecuadas.,Poco: El impacto es limitado o depende del contexto.,La principal ventaja ha sido la optimización de tiempo.,La falta de una estrategia coordinada entre profesor y estudiantes.,La capacitación en en el uso de plataformas y estrategias internacionales exitosas para el uso de TICs en la educación.,Muy baja incidencia.,La falta de un uso ético de la inteligencia artificial en la generación de trabajos por parte de los estudiantes.,UNIVERSIDAD CATÓLICA DE CUENCA
2025-10-30 09:39:32.171,5,5,2,2,2,1,5,2,5,5,3,4,5,5,5,5,5,5,5,5,1,2,2,2,Uso autónomo y regular de TIC en la enseñanza.,"Comunicación y colaboración digital con estudiantes o colegas., Uso de inteligencia artificial y tecnologías emergentes.",No aplica,"Sí, totalmente adecuadas.",Totalmente: Las competencias digitales transforman de forma clara los aprendizajes.,Automatización,Capacitación,Curar contenidos,Personalizar el aprendizaje,No declarar el uso de las IA Gen,UNIVERSIDAD NACIONAL DE LOJA
2025-10-30 12:08:29.387,4,4,3,3,3,5,5,5,5,5,5,4,2,4,3,4,5,5,5,5,1,1,2,1,"Uso avanzado y flexible, adapta recursos digitales a distintas necesidades.","Creación y adaptación de contenidos digitales., Evaluación digital (rúbricas, cuestionarios en línea, retroalimentación digital)., Desarrollo profesional y formación continua en competencias digitales, Uso de inteligencia artificial y tecnologías emergentes.","Falta de formación docente continua., Sobrecarga laboral o falta de tiempo., Escaso apoyo institucional.",Parcialmente adecuadas.,Moderadamente: Las competencias digitales pueden apoyar algunos aprendizajes.,"Fácil adaptación, es muy parametrizable la calificaciones, poco inconveniente de disponibilidad.",El uso de IA en estudiantes por bajos recursos.,"Manejo de plataformas CMS Educativos, Uso de IA, Uso de E-learning.",Facilita el seguimiento de calificaciones y recursos a utilizar.,El dilema ético en el control del uso intencional o no intencional de la IA,UNIVERSIDAD NACIONAL DE LOJA
2025-10-30 15:22:21.206,4,4,3,3,2,4,4,4,3,3,3,3,3,3,3,4,4,3,4,5,1,1,1,1,Uso autónomo y regular de TIC en la enseñanza.,"Evaluación digital (rúbricas, cuestionarios en línea, retroalimentación digital).","Sobrecarga laboral o falta de tiempo., Escaso apoyo institucional.",Parcialmente adecuadas.,Moderadamente: Las competencias digitales pueden apoyar algunos aprendizajes.,Digitalización de documentos ,Falta de tiempo para dominarlas ,Buscadores ,Falta de leer por parte de los estudiantes,Plagio de información entre estudiantes ,INSTITUTO SUPERIOR TECNOLÓGICO DEL AZUAY
2025-10-30 16:17:22.531,5,4,5,5,5,4,4,4,3,3,5,3,3,5,2,5,4,4,4,4,1,1,1,1,Uso autónomo y regular de TIC en la enseñanza.,"Creación y adaptación de contenidos digitales., Evaluación digital (rúbricas, cuestionarios en línea, retroalimentación digital)., Uso de inteligencia artificial y tecnologías emergentes.","Infraestructura tecnológica insuficiente, Escaso apoyo institucional., Dificultades en la evaluación digital.","Sí, totalmente adecuadas.",Totalmente: Las competencias digitales transforman de forma clara los aprendizajes.,Ahorramos tiempo,Servidores inestables,uso de tecnología,significativa ya que se aprende y enseña a la vez,que los estudiantes consiguen información y no verifican su valides ,INSTITUTO SUPERIOR TECNOLÓGICO LIMÓN
2025-10-30 17:26:55.729,5,5,3,5,5,3,3,4,5,2,5,3,5,5,5,5,5,5,5,5,1,1,1,1,Uso autónomo y regular de TIC en la enseñanza.,"Creación y adaptación de contenidos digitales., Comunicación y colaboración digital con estudiantes o colegas.","Infraestructura tecnológica insuficiente, Conectividad limitada., Falta de formación docente continua., Sobrecarga laboral o falta de tiempo., Escaso apoyo institucional., Resistencia al cambio o cultura digital limitada.","Sí, totalmente adecuadas.",Totalmente: Las competencias digitales transforman de forma clara los aprendizajes.,"Ahorro de tiempo, efectividad en clases",Internet bajo,Si,"En mucho, facilita el trabajo ",Dejar q todo realice la IA,INSTITUTO SUPERIOR TECNOLÓGICO LIMÓN
2025-10-31 09:27:46.070,4,4,3,4,4,4,3,2,5,1,2,4,5,5,4,4,5,5,5,5,1,1,1,2,"Uso avanzado y flexible, adapta recursos digitales a distintas necesidades.","Creación y adaptación de contenidos digitales., Evaluación digital (rúbricas, cuestionarios en línea, retroalimentación digital)., Desarrollo profesional y formación continua en competencias digitales","Falta de formación docente continua., Sobrecarga laboral o falta de tiempo.",Parcialmente adecuadas.,Moderadamente: Las competencias digitales pueden apoyar algunos aprendizajes.,"Permiten una mejor organización del aprendizaje, facilitan la comunicación con los estudiantes y ofrecen herramientas para evaluar y retroalimentar de manera más eficiente.","Algunas herramientas presentan limitaciones técnicas o problemas de conectividad, y en ocasiones los estudiantes tienen dificultades para adaptarse o mantener la participación constante en entornos virtuales.","Considero esenciales las competencias en gestión de entornos virtuales de aprendizaje, creación de recursos digitales, comunicación en línea efectiva y uso ético y seguro de la información.","El uso de herramientas digitales me ha permitido diversificar las formas de evaluación, incorporar retroalimentación inmediata y valorar procesos de aprendizaje más que solo resultados finales.","Uno de los principales retos es garantizar el uso ético y responsable de la inteligencia artificial, evitando el plagio o la dependencia excesiva de estas herramientas. Además, existen desafíos técnicos relacionados con la precisión de los resultados y la protección de los datos personales.",UNIVERSIDAD NACIONAL DE LOJA
2025-10-31 11:14:58.160,2,3,3,3,3,3,3,4,3,3,3,3,4,4,3,3,4,4,5,4,1,1,1,1,"Uso muy básico de TIC, con apoyo frecuente",Comunicación y colaboración digital con estudiantes o colegas.,Infraestructura tecnológica insuficiente,Parcialmente adecuadas.,Moderadamente: Las competencias digitales pueden apoyar algunos aprendizajes.,Facilita el proceso enseñanza,"Falta de conectividad, actualización de equipos ",Manajar muy bien las TICS,a mejorado el trabajo,capacitación continua,INSTITUTO SUPERIOR TECNOLÓGICO DEL AZUAY
2025-10-31 15:35:45.802,3,4,1,4,4,3,2,3,2,1,4,4,4,4,3,4,4,5,5,5,1,2,2,1,"Uso muy básico de TIC, con apoyo frecuente",Desarrollo profesional y formación continua en competencias digitales,"Infraestructura tecnológica insuficiente, Conectividad limitada., Falta de formación docente continua., Sobrecarga laboral o falta de tiempo.","Sí, totalmente adecuadas.",Totalmente: Las competencias digitales transforman de forma clara los aprendizajes.,"Acceso a material, facilita la comunicación entre docentes y estudiantes ",Problemas de conexión. Computadoras obsoletas ,Aprender a manejar plataformas virtuales.  Creación de recursos digitales. Aplicación  de evaluaciones usando herramientas tecnológicas ,Evaluaciones mas rápidas. Interactivas que permitan la retro alimentación ,"Usos indebidos, gasta de criterio de las estudiantes ",INSTITUTO SUPERIOR TECNOLÓGICO LIMÓN
2025-10-31 15:52:27.231,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,Innova con TIC y guía a otros docentes en su uso.,"Comunicación y colaboración digital con estudiantes o colegas., Evaluación digital (rúbricas, cuestionarios en línea, retroalimentación digital)., Uso de inteligencia artificial y tecnologías emergentes.",Resistencia al cambio o cultura digital limitada.,"Sí, totalmente adecuadas.",Totalmente: Las competencias digitales transforman de forma clara los aprendizajes.,RAPIDEZ,NINGUNA,IA,TIEMPOS,AUTORÍA ,INSTITUTO SUPERIOR TECNOLÓGICO SUCÚA
2025-10-31 15:58:08.070,4,4,3,5,5,3,3,3,4,4,4,4,4,3,2,3,3,3,2,3,1,1,1,2,Uso autónomo y regular de TIC en la enseñanza.,Creación y adaptación de contenidos digitales.,"Infraestructura tecnológica insuficiente, Conectividad limitada., Escaso apoyo institucional.",Parcialmente adecuadas.,Moderadamente: Las competencias digitales pueden apoyar algunos aprendizajes.,Meno sincronización de tareas ,Apps de pago ,Si,Desarrollo más innovador de contenido ,Muchos prefiero no aplicar no se demuestra esfuerzo propio ,INSTITUTO SUPERIOR TECNOLÓGICO SUCÚA
2025-10-31 16:02:33.969,4,4,2,4,3,4,3,5,4,3,5,4,5,5,5,4,5,4,5,5,2,2,1,2,Innova con TIC y guía a otros docentes en su uso.,"Evaluación digital (rúbricas, cuestionarios en línea, retroalimentación digital)., Desarrollo profesional y formación continua en competencias digitales, Uso de inteligencia artificial y tecnologías emergentes.","Infraestructura tecnológica insuficiente, Conectividad limitada., Sobrecarga laboral o falta de tiempo., Escaso apoyo institucional.",Parcialmente adecuadas.,Bastante: Las competencias digitales potencian la enseñanza y la comprensión.,"Ahorro de tiempo, conectividad","Internet, desconocimiento de herramientas",Resolución de problemas: ,Ofreciéndome diferentes parámetros y materiales para as evaluaciones,Plagio,INSTITUTO SUPERIOR TECNOLÓGICO SUCÚA
2025-10-31 16:05:21.236,4,4,4,4,3,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,1,1,1,2,"Uso avanzado y flexible, adapta recursos digitales a distintas necesidades.","Creación y adaptación de contenidos digitales., Comunicación y colaboración digital con estudiantes o colegas., Evaluación digital (rúbricas, cuestionarios en línea, retroalimentación digital)., Desarrollo profesional y formación continua en competencias digitales","Conectividad limitada., Falta de formación docente continua.",Parcialmente adecuadas.,Totalmente: Las competencias digitales transforman de forma clara los aprendizajes.,El usos de herramientas digitales ayuda que las clases sean interactivas.,"La conexión es deficiente en el laboratorio, por lo tanto no se logra avanzar como se debe.",el uso de toda plataforma digital que ayude al aprendizaje de los estudiantes.,Las herramientas digitales ayudan a que las tareas y actividades en clase sean interactivas y facilitan en la adquisición del la asignatura.,"En el tema técnico no todos los estudiantes tiene acceso a dispositivos electrónicos y en la ética , no todos los estudiantes desarrollan pensamiento crítico.",INSTITUTO SUPERIOR TECNOLÓGICO SUCÚA
2025-10-31 16:10:02.861,4,3,3,4,4,3,3,3,3,2,4,3,3,4,4,5,5,5,5,5,1,1,2,1,"Uso limitado, aplica TIC en actividades simples.","Creación y adaptación de contenidos digitales., Comunicación y colaboración digital con estudiantes o colegas.","Conectividad limitada., Falta de formación docente continua., Escaso apoyo institucional.",Parcialmente adecuadas.,Poco: El impacto es limitado o depende del contexto.,Ahorro de tiempo y se aprende más ,Falta de conectividad y de conocimiento de TIC ,"Competencia en comunicación y colaboración digital

Competencia en creación y gestión de contenidos digitales

Competencia pedagógica digital","Permiten una evaluación continua y en tiempo real mediante plataformas virtuales.

Facilitan la retroalimentación inmediata y personalizada.

Promueven el uso de rúbricas digitales que estandarizan los criterios de evaluación.

Favorecen la evaluación formativa a través de cuestionarios interactivos y foros.

Amplían las posibilidades de evaluar competencias prácticas mediante simuladores o entornos virtuales.

Entre Otras ","Conectividad inestable o limitada.

Escaso conocimiento o capacitación docente en el uso de herramientas de IA.

Dificultad para integrar la IA en los sistemas institucionales existentes.",INSTITUTO SUPERIOR TECNOLÓGICO SUCÚA
2025-10-31 16:14:15.513,2,2,3,4,3,2,3,3,2,2,2,2,3,4,2,4,4,4,4,4,1,1,2,2,"Uso muy básico de TIC, con apoyo frecuente","Creación y adaptación de contenidos digitales., Desarrollo profesional y formación continua en competencias digitales",Infraestructura tecnológica insuficiente,Parcialmente adecuadas.,Moderadamente: Las competencias digitales pueden apoyar algunos aprendizajes.,Apoyo académico ,Falta de capacitación ,Si,Permite ahorrar tiempo ,Los estudiantes ya no revisan materia ni contenido únicamente utilizan la IA,INSTITUTO SUPERIOR TECNOLÓGICO SUCÚA
2025-10-31 16:15:29.120,4,3,1,4,3,3,4,3,1,3,4,1,5,4,3,5,4,5,5,5,2,2,2,3,Innova con TIC y guía a otros docentes en su uso.,"Comunicación y colaboración digital con estudiantes o colegas., Desarrollo profesional y formación continua en competencias digitales, Uso de inteligencia artificial y tecnologías emergentes.",Sobrecarga laboral o falta de tiempo.,Parcialmente adecuadas.,Bastante: Las competencias digitales potencian la enseñanza y la comprensión.,Flexibilidad en el aprendizaje y disminución de consumo de papel,Los estudiantes se distraen con otras aplicaciones o redes sociales,Manejo de la información y los datos,Objetividad y transparencia de las calificaciones,Existe dependencia tecnológica de los estudiantes y el riesgo de plagio o uso indebido de contenidos generados por IA,INSTITUTO SUPERIOR TECNOLÓGICO SUCÚA
2025-10-31 16:21:44.034,5,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,5,5,5,5,3,3,3,3,Uso autónomo y regular de TIC en la enseñanza.,Comunicación y colaboración digital con estudiantes o colegas.,Escaso apoyo institucional.,Parcialmente adecuadas.,Moderadamente: Las competencias digitales pueden apoyar algunos aprendizajes.,NINGUNA,NINGUNA,NINGUNA,SN,SN,INSTITUTO SUPERIOR TECNOLÓGICO SUCÚA
2025-10-31 16:22:38.550,3,3,4,1,2,4,3,3,3,2,3,4,5,5,4,4,4,5,5,5,1,2,1,1,Uso autónomo y regular de TIC en la enseñanza.,Desarrollo profesional y formación continua en competencias digitales,"Infraestructura tecnológica insuficiente, Conectividad limitada., Sobrecarga laboral o falta de tiempo., Escaso apoyo institucional., Dificultades en la evaluación digital.",Parcialmente adecuadas.,Bastante: Las competencias digitales potencian la enseñanza y la comprensión.,"Optimizar el tiempo.
Trabajo colaborativo
Comunicación continua","Acceso a internet en el aula.
Falta de recursos y herramientas digitales gratuitas (La mayoría son de paga)","USO PEDAGÓGICO DE LAS TIC
COLABORATIVA EN ENTORNOS DIGITALES
CREACIÓN Y GESTIÓN DE RECURSOS DIGITALES
EVALUACIÓN DIGITAL
INNOVACIÓN Y PREPARACIÓN CONSTANTE DE LOS DOCENTES",OPTIMIZA EL TIEMPO Y LOS RECURSOS,LA DESHONESTIDAD ACADÉMICA,INSTITUTO SUPERIOR TECNOLÓGICO SUCÚA
