Marca temporal,"Evalúe su nivel de competencia en el uso de plataformas LMS (Moodle, Canvas, Google Classroom).",¿Con qué frecuencia diseña actividades interactivas en entornos digitales?,¿Qué tan competente se siente para adaptar materiales a estudiantes con discapacidad?,¿Ha recibido formación específica sobre el uso pedagógico de TIC en su institución?,¿Considera que su institución brinda apoyo suficiente para fortalecer sus competencias digitales?,¿Evalúe su competencia para crear recursos educativos con Canva Genially u otras?,¿Utiliza repositorios abiertos de recursos académicos y científicos    ?,¿Con qué frecuencia adapta sus contenidos digitales a la diversidad estudiantil?,¿Con que frecuencia utiliza herramientas colaborativas como Google Docs o Padlet? con sus estudiantes,"¿Con qué frecuencia participa en comunidades virtuales o redes digitales de docentes para compartir recursos, estrategias o experiencias pedagógicas? ","¿Utiliza herramientas como (Kahoot, Socrative, Moodle) para la evaluación formativa?",¿Qué tan competente se considera en el diseño y uso de rúbricas digitales para evaluar el aprendizaje de sus estudiantes? ,"¿Con qué frecuencia utiliza medios digitales (video, audio o texto) para ofrecer retroalimentación personalizada a sus estudiantes? ","¿Con qué frecuencia utiliza herramientas de IA (ChatGPT, Copilot, Gamma, Bard, etc.) en su enseñanza?",¿Ha recibido formación específica sobre IA aplicada a la educación?,¿En qué medida considera que la inteligencia artificial puede apoyar y complementar su retroalimentación docente? ,¿En qué medida considera que la inteligencia artificial contribuye a personalizar el aprendizaje de sus estudiantes? ,¿Percibe que el uso de la inteligencia artificial en el aula implica la necesidad de abordar temas éticos con sus estudiantes? ,¿Cree que la IA puede favorecer la inclusión educativa?,¿Considera que la IA le ahorra tiempo en tareas repetitivas?,¿Conoce la metodología COIL (Collaborative Online International Learning)?,¿Conoce el marco DigCompEdu de la Unión Europea sobre competencias digitales docentes?,¿Conoce el marco ICT-CFT de la UNESCO sobre competencias digitales docentes?,"¿Conoce que existen criterios internacionales para evaluar competencias digitales docentes (niveles: básico, intermedio, avanzado)?",¿Seleccione su nivel de competencias digitales docentes de acuerdo al marco europeo DigCompEdu?,¿En qué áreas considera tener mayor dominio en el uso de tecnologías digitales? (marque todas las que correspondan),¿Cuáles son las principales dificultades que enfrenta al integrar TIC o IA en su práctica docente? (marque todas las que correspondan),¿Considera que sus competencias digitales actuales son adecuadas para implementar estrategias pedagógicas que promuevan aprendizajes significativos en entornos virtuales?,¿En qué medida sus competencias digitales contribuyen a generar aprendizajes significativos en sus estudiantes? ,Mencione las principales ventajas que ha encontrado al usar plataformas virtuales en su institución.,¿Qué limitaciones ha enfrentado en el uso de herramientas digitales en su práctica docente?,"En su opinión, ¿qué competencias digitales son esenciales para un docente de educación superior?",¿De qué manera el uso de herramientas digitales ha influido en sus estrategias o criterios para evaluar el aprendizaje de sus estudiantes? ,¿Qué retos técnicos o dilemas éticos ha experimentado o considera que podría enfrentar al integrar herramientas de inteligencia artificial en el aula? ,INSTITUCIÓN DE EDUCACIÓN SUPERIOR
2025-10-31 16:26:23.798,4,4,2,2,2,4,4,3,2,2,4,3,4,3,3,4,4,4,4,4,1,1,1,1,Uso autónomo y regular de TIC en la enseñanza.,"Comunicación y colaboración digital con estudiantes o colegas., Evaluación digital (rúbricas, cuestionarios en línea, retroalimentación digital).",Falta de formación docente continua.,Parcialmente adecuadas.,Bastante: Las competencias digitales potencian la enseñanza y la comprensión.,"Al utilizar moodle:
Permite crear actividades dinámicas.
Cargar videos.
Crear juegos y compartirlos por la herramienta.
Evaluar contenidos ","Conocer la parte administrativa de moodle, por ejemplo, como activar de manera dinámica la página ","Gestión de la información, la comunicación y colaboración, la creación de contenidos digitales, el uso pedagógico de herramientas digitales","Son dinámicas y facilitan el entendimiento, al evaluar por juegos o crucigramas donde el estudiante se enfoca a recordar contenidos.",Esperar que todo lo responde la IA y no analizar si lo que expone esta correcto.,INSTITUTO SUPERIOR TECNOLÓGICO SUCÚA
2025-10-31 16:27:31.709,4,3,2,2,2,3,3,3,4,2,5,3,4,4,4,4,4,4,4,4,1,1,1,1,Uso autónomo y regular de TIC en la enseñanza.,Comunicación y colaboración digital con estudiantes o colegas.,"Conectividad limitada., Falta de formación docente continua., Escaso apoyo institucional.",Parcialmente adecuadas.,Moderadamente: Las competencias digitales pueden apoyar algunos aprendizajes.,"Optimización de tiempo y recursos, flexibilidad en el acceso a la información y comunicación","problemas de conectividad, capacitación tecnológica insuficiente.","Conectividad limitada, capacitación insuficiente","Permite una evaluación permanente, individualizada  y continua. registrar evidencias del proceso de aprendeizaje.",conectividad y se corre el riesgo de tener una dependencia excesiva de la tecnología. se corre riesgo en la autenticidad de los trabajos dado que no se puede evidenciar el aprendizaje real del estudiante.,INSTITUTO SUPERIOR TECNOLÓGICO SUCÚA
2025-10-31 16:28:22.466,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,2,2,2,2,"Uso avanzado y flexible, adapta recursos digitales a distintas necesidades.",Creación y adaptación de contenidos digitales.,"Conectividad limitada., Sobrecarga laboral o falta de tiempo., Resistencia al cambio o cultura digital limitada.","Sí, totalmente adecuadas.",Totalmente: Las competencias digitales transforman de forma clara los aprendizajes.,Flexible  manejo,Falta de internet en las aulas,Si son esenciales ya que en la actualidad todo se maneja con la tecnologia,Y mejor aprendizaje en los estudiantes,Falta de internet en las aulas,INSTITUTO SUPERIOR TECNOLÓGICO SUCÚA
2025-10-31 16:32:35.504,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,"Uso muy básico de TIC, con apoyo frecuente",Creación y adaptación de contenidos digitales.,Infraestructura tecnológica insuficiente,"Sí, totalmente adecuadas.",Poco: El impacto es limitado o depende del contexto.,Innovación tecnológica,Acceso ,todas,tiempo,mejor atención,INSTITUTO SUPERIOR TECNOLÓGICO SUCÚA
2025-10-31 17:23:42.219,3,2,3,4,4,2,1,1,1,1,3,1,3,5,2,4,3,5,2,4,1,1,1,1,"Uso muy básico de TIC, con apoyo frecuente",Uso de inteligencia artificial y tecnologías emergentes.,Infraestructura tecnológica insuficiente,Poco adecuadas.,Moderadamente: Las competencias digitales pueden apoyar algunos aprendizajes.,Mas rapido,falta de capacitacion,varias,nada,aprender,INSTITUTO SUPERIOR TECNOLÓGICO SUCÚA
2025-10-31 18:07:20.461,4,4,3,4,5,3,4,4,3,3,4,4,4,4,3,4,3,4,4,4,1,2,1,2,"Uso limitado, aplica TIC en actividades simples.",Comunicación y colaboración digital con estudiantes o colegas.,"Infraestructura tecnológica insuficiente, Falta de formación docente continua.",Parcialmente adecuadas.,Moderadamente: Las competencias digitales pueden apoyar algunos aprendizajes.,OPTIMIZA RECURSOS EL FACTOR TIEMPO,INDICACIONES PERSONALIZADAS,CREACION DE CONTENIDO DIGITAL,SU CRITERIO PRACTICO Y TECNICO,QUE EL CONTENIDO GENERADO SEA PLAGIO,INSTITUTO SUPERIOR TECNOLÓGICO SUCÚA
2025-10-31 18:29:37.552,4,4,3,3,4,3,4,3,2,2,4,3,3,4,1,4,4,4,4,5,1,1,1,1,Uso autónomo y regular de TIC en la enseñanza.,"Evaluación digital (rúbricas, cuestionarios en línea, retroalimentación digital)., Desarrollo profesional y formación continua en competencias digitales","Conectividad limitada., Falta de formación docente continua.",Poco adecuadas.,Bastante: Las competencias digitales potencian la enseñanza y la comprensión.,"Práctico 
Se puede compartir tareas o retroalimentación ","Falta de conocimiento
Falta de tiempo","Gestión de entornos virtuales de aprendizaje
Diseño de contenidos digitales contextualizados
Comunicación y colaboración digital
Evaluación y retroalimentación digital
Alfabetización en datos y seguridad digital
Innovación educativa con tecnologías emergentes","El acceso a plataformas digitales ha permitido incorporar evaluaciones formativas, autoevaluaciones y coevaluaciones mediante formularios interactivos, rúbricas compartidas y retroalimentación automatizada. Esto ha enriquecido los criterios de evaluación, haciéndolos más participativos y transparentes.
Las herramientas digitales facilitan el seguimiento del aprendizaje en tiempo real. Por ejemplo, el uso de foros, diarios reflexivos o portafolios digitales permite valorar procesos más que productos, reconociendo el esfuerzo, la evolución y la apropiación crítica del conocimiento.","Brecha digital y desigualdad de acceso
Capacitación docente insuficiente
Integración curricular limitada
Fiabilidad y precisión de la IA",INSTITUTO SUPERIOR TECNOLÓGICO SUCÚA
2025-10-31 18:49:14.428,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,3,4,3,2,1,1,1,"Uso limitado, aplica TIC en actividades simples.","Evaluación digital (rúbricas, cuestionarios en línea, retroalimentación digital)., Uso de inteligencia artificial y tecnologías emergentes.","Conectividad limitada., Resistencia al cambio o cultura digital limitada.","Sí, totalmente adecuadas.",Moderadamente: Las competencias digitales pueden apoyar algunos aprendizajes.,Interactuar con los estudiantes ,Desconocimiento ,Herramientas tecnológicas,evaluaciones más dinámicas y personalizadas,Privacidad y protección de datos,INSTITUTO SUPERIOR TECNOLÓGICO SUCÚA
2025-11-01 09:22:36.707,3,3,4,4,2,2,3,3,2,2,5,4,5,4,2,4,3,3,3,3,2,2,2,2,Uso autónomo y regular de TIC en la enseñanza.,Desarrollo profesional y formación continua en competencias digitales,"Infraestructura tecnológica insuficiente, Falta de formación docente continua., Resistencia al cambio o cultura digital limitada.",Parcialmente adecuadas.,Moderadamente: Las competencias digitales pueden apoyar algunos aprendizajes.,mayor facilidad de explicación ,desconocimiento al momento de usar ,integración de tecnología en la enseñanza,estar a la par con los nuevos contenidos que nos dan la tecnologia ,Avences tecnologicos ,INSTITUTO SUPERIOR PEDAGÓGICO INTERCULTURAL BILINGÜE QUILLOAC TEC
2025-11-05 14:35:51.791,3,4,2,2,2,3,3,4,2,2,4,2,4,2,4,4,3,3,3,4,1,1,1,1,"Uso muy básico de TIC, con apoyo frecuente",Creación y adaptación de contenidos digitales.,"Infraestructura tecnológica insuficiente, Falta de formación docente continua.",Parcialmente adecuadas.,Moderadamente: Las competencias digitales pueden apoyar algunos aprendizajes.,ahorro de tiempo,deficiente infraestructura tecnología,"videos, PPT",Mayor captación.,la adaptación los estudiantes,INSTITUTO SUPERIOR PEDAGÓGICO INTERCULTURAL BILINGÜE QUILLOAC TEC
2025-11-05 14:35:53.568,4,4,2,2,2,3,3,4,2,2,4,4,4,3,2,4,4,4,4,4,1,1,1,1,"Uso limitado, aplica TIC en actividades simples.","Evaluación digital (rúbricas, cuestionarios en línea, retroalimentación digital)., Uso de inteligencia artificial y tecnologías emergentes.","Falta de formación docente continua., Sobrecarga laboral o falta de tiempo.",No son adecuadas.,Moderadamente: Las competencias digitales pueden apoyar algunos aprendizajes.,Mejor manera de obtener conocimiento,Contacto con el docente,Moodle ,Ninguna ,Ninguna ,INSTITUTO SUPERIOR PEDAGÓGICO INTERCULTURAL BILINGÜE QUILLOAC TEC
2025-11-05 15:38:00.962,4,4,3,3,3,3,3,4,3,4,4,4,4,3,2,3,3,3,2,3,1,1,1,1,"Uso avanzado y flexible, adapta recursos digitales a distintas necesidades.","Creación y adaptación de contenidos digitales., Comunicación y colaboración digital con estudiantes o colegas., Evaluación digital (rúbricas, cuestionarios en línea, retroalimentación digital)., Desarrollo profesional y formación continua en competencias digitales","Infraestructura tecnológica insuficiente, Conectividad limitada., Sobrecarga laboral o falta de tiempo., Escaso apoyo institucional., Resistencia al cambio o cultura digital limitada.",Parcialmente adecuadas.,Bastante: Las competencias digitales potencian la enseñanza y la comprensión.,Mas facilidad para el proceso de enseñanza y apoyo a los estudiantes ,Falta de conexión del internet ,Competencia en el uso de herramientas tecnológicas,"El uso de herramientas digitales ha transformado significativamente mis estrategias y criterios de evaluación, permitiendo una valoración más integral, dinámica y continua del aprendizaje","Como retos técnicos tenemos  limitada infraestructura tecnológica en algunas instituciones, el acceso desigual a internet y la falta de capacitación docente para usar adecuadamente estas herramientas",INSTITUTO SUPERIOR PEDAGÓGICO INTERCULTURAL BILINGÜE QUILLOAC TEC
2025-11-05 15:43:35.949,4,4,3,4,3,4,4,4,3,4,4,4,4,2,2,3,3,3,2,3,1,1,2,2,Uso autónomo y regular de TIC en la enseñanza.,Uso de inteligencia artificial y tecnologías emergentes.,Conectividad limitada.,Poco adecuadas.,Bastante: Las competencias digitales potencian la enseñanza y la comprensión.,He encontrado como principal ventaja el orden y la eficiencia en la gestión de las tareas académicas,"He enfrentado limitaciones relacionadas con la conectividad a internet, especialmente dentro de las aulas","Es fundamental que el docente maneje herramientas digitales para planificar, impartir y evaluar clases en entornos virtuales, fomente la participación de los estudiantes en línea y utilice recursos tecnológicos para innovar en sus estrategias didácticas.","Me han ayudado a hacer evaluaciones más prácticas e interactivas, con retroalimentación rápida y seguimiento individual del desempeño de los estudiantes.",He identificado como desafíos la detección del uso indebido de herramientas de IA en las tareas.,INSTITUTO SUPERIOR PEDAGÓGICO INTERCULTURAL BILINGÜE QUILLOAC TEC
2025-11-05 15:48:47.955,4,4,3,4,4,2,3,3,3,2,4,3,3,3,2,5,5,5,5,5,1,1,1,1,Uso autónomo y regular de TIC en la enseñanza.,Creación y adaptación de contenidos digitales.,Falta de formación docente continua.,Poco adecuadas.,Moderadamente: Las competencias digitales pueden apoyar algunos aprendizajes.,Facilidad de información por parte de los estudiantes,Desconocimiento de metodologías y procesos de uso y manejo,Creación de contenidos digitales,En muchos casos las respuesta no son del estuidnate,El plagio,INSTITUTO SUPERIOR PEDAGÓGICO INTERCULTURAL BILINGÜE QUILLOAC TEC
2025-11-05 16:26:17.604,3,3,2,3,3,2,2,2,1,1,2,2,2,1,1,1,1,2,3,2,1,1,1,1,"Uso muy básico de TIC, con apoyo frecuente",Creación y adaptación de contenidos digitales.,Sobrecarga laboral o falta de tiempo.,Parcialmente adecuadas.,Bastante: Las competencias digitales potencian la enseñanza y la comprensión.,Permite organizar las tareas optimiza tiempo en las evaluaciones,El desconocimiento de algunas herramientas para aplicar dentro de  aula,Aquellas orientadas a la práctica pedagógica,Es una herramienta de apoyo y optimiza el tiempo,Dinamizar las clases y generar aprendizajes significativos,INSTITUTO SUPERIOR PEDAGÓGICO INTERCULTURAL BILINGÜE QUILLOAC TEC
2025-11-05 16:29:30.215,4,4,3,1,1,3,3,3,3,3,4,3,4,3,1,4,3,4,3,4,1,1,1,1,Uso autónomo y regular de TIC en la enseñanza.,Creación y adaptación de contenidos digitales.,"Falta de formación docente continua., Sobrecarga laboral o falta de tiempo., Escaso apoyo institucional.",Parcialmente adecuadas.,Bastante: Las competencias digitales potencian la enseñanza y la comprensión.,La automatización de la información.,El poco conocimiento.,Creación de contenido educativo digital,Retroalimentación oportuna con los estudiantes.,La información es superficial.,INSTITUTO SUPERIOR PEDAGÓGICO INTERCULTURAL BILINGÜE QUILLOAC TEC
2025-11-05 16:39:08.772,4,4,3,1,1,3,3,3,2,2,3,3,4,3,1,3,3,4,3,4,1,1,1,1,Uso autónomo y regular de TIC en la enseñanza.,Comunicación y colaboración digital con estudiantes o colegas.,Falta de formación docente continua.,Parcialmente adecuadas.,Bastante: Las competencias digitales potencian la enseñanza y la comprensión.,Información automatizada,Poco conocimiento sobre el uso de herramientas,Administración de plataformas educativas,Evaluación individualizada,Información superficial,INSTITUTO SUPERIOR PEDAGÓGICO INTERCULTURAL BILINGÜE QUILLOAC TEC
2025-11-05 16:39:51.109,5,4,5,3,2,5,5,5,2,3,4,5,4,3,2,3,4,5,5,5,1,1,1,2,Uso autónomo y regular de TIC en la enseñanza.,"Creación y adaptación de contenidos digitales., Evaluación digital (rúbricas, cuestionarios en línea, retroalimentación digital)., Uso de inteligencia artificial y tecnologías emergentes.",Infraestructura tecnológica insuficiente,Parcialmente adecuadas.,Moderadamente: Las competencias digitales pueden apoyar algunos aprendizajes.,Disminuye el tiempo,Falta de internet ,Actualización constante ,De buena manera ,Al momento ninguno ,INSTITUTO SUPERIOR PEDAGÓGICO INTERCULTURAL BILINGÜE QUILLOAC TEC
2025-11-05 16:55:16.508,4,4,3,5,4,4,5,3,4,4,4,4,4,4,5,4,4,5,5,5,2,2,2,2,"Uso limitado, aplica TIC en actividades simples.","Evaluación digital (rúbricas, cuestionarios en línea, retroalimentación digital).","Infraestructura tecnológica insuficiente, Conectividad limitada., Dificultades en la evaluación digital.",Parcialmente adecuadas.,Bastante: Las competencias digitales potencian la enseñanza y la comprensión.,generación estadística  de datos,falta de laboratorios de computo modernos que satisfagan la necesidad,manejo de programas de especialización  según la asignatura,Es una herramienta alternativa ,falta de una red confiable que permita satisfacer la necesidad ,INSTITUTO SUPERIOR TECNOLÓGICO DEL AZUAY
2025-11-05 17:30:42.903,5,5,5,1,3,5,4,4,5,5,5,5,5,5,1,5,5,5,5,5,3,2,3,3,Uso autónomo y regular de TIC en la enseñanza.,"Comunicación y colaboración digital con estudiantes o colegas., Evaluación digital (rúbricas, cuestionarios en línea, retroalimentación digital)., Desarrollo profesional y formación continua en competencias digitales","Infraestructura tecnológica insuficiente, Conectividad limitada., Sobrecarga laboral o falta de tiempo., Escaso apoyo institucional., Dificultades en la evaluación digital.","Sí, totalmente adecuadas.",Bastante: Las competencias digitales potencian la enseñanza y la comprensión.,Compactibilidad y confianza que ganan los estudiantes,Conectividad,"Las básicas como Google, IA, Drive, EVA, Redes, Navegadores Básicos","Test, juegos, crucigramas, sopa de letras, Capcut, Canva, Drive, Moodle","Plagio, los estudiantes se confían mucho y están dejando de razonar en lugar de tener como base los recursos..",INSTITUTO SUPERIOR PEDAGÓGICO INTERCULTURAL BILINGÜE QUILLOAC TEC
2025-11-05 18:06:01.673,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,Crea nuevas prácticas y difunde experiencias innovadoras.,"Creación y adaptación de contenidos digitales., Comunicación y colaboración digital con estudiantes o colegas., Evaluación digital (rúbricas, cuestionarios en línea, retroalimentación digital)., Desarrollo profesional y formación continua en competencias digitales, Uso de inteligencia artificial y tecnologías emergentes.","Conectividad limitada., Sobrecarga laboral o falta de tiempo., Dificultades en la evaluación digital.","Sí, totalmente adecuadas.",Totalmente: Las competencias digitales transforman de forma clara los aprendizajes.,Eficiencia en actividades docentes.,Tiempo para realizar recursos propios de aprendizaje,"Dominio LMS, y herramientas IA, capacidad de generar recursos educativos ejemplo con Genially",Organización y seguimiento de rendimiento del estudiante.,Cuando se usa para suplir al estudiante y no para generar conocimiento.,INSTITUTO SUPERIOR PEDAGÓGICO INTERCULTURAL BILINGÜE QUILLOAC TEC
2025-11-05 18:06:54.165,4,4,4,1,1,4,4,4,4,1,4,4,5,3,3,4,4,4,2,5,2,1,1,1,Uso autónomo y regular de TIC en la enseñanza.,Creación y adaptación de contenidos digitales.,estudiantes no cuentan con internet o un laptop,Parcialmente adecuadas.,Bastante: Las competencias digitales potencian la enseñanza y la comprensión.,la comprensión de los estudiantes,Algunas herramientas no pueden ser usados por los estudiantes en un celular,el uso de herramientas tecnológicas,de manera activa,que se debe buscar el uso de IA de manara ética,INSTITUTO SUPERIOR PEDAGÓGICO INTERCULTURAL BILINGÜE QUILLOAC TEC
2025-11-06 08:36:36.038,3,4,4,5,5,4,4,3,3,3,3,4,4,5,4,5,5,5,5,5,2,1,1,2,Uso autónomo y regular de TIC en la enseñanza.,Desarrollo profesional y formación continua en competencias digitales,Sobrecarga laboral o falta de tiempo.,Parcialmente adecuadas.,Totalmente: Las competencias digitales transforman de forma clara los aprendizajes.,"Didáctica, funcionalidad, retroalimentación, etc",Tiempo,Recursos y evaluación digital,La evaluación formativa es una herramienta fundamental para la retroalimentación.,La falta de esfuerzo que genera el uso sin ética de las IA's,INSTITUTO SUPERIOR TECNOLÓGICO LIMÓN
2025-11-06 10:43:42.187,3,3,2,3,4,3,2,3,3,3,4,4,5,3,2,5,4,5,4,5,1,1,1,1,Uso autónomo y regular de TIC en la enseñanza.,"Evaluación digital (rúbricas, cuestionarios en línea, retroalimentación digital).","Infraestructura tecnológica insuficiente, Falta de formación docente continua.",Parcialmente adecuadas.,Moderadamente: Las competencias digitales pueden apoyar algunos aprendizajes.,Ahorro de tiempo en tareas repetitivas como calificar evaluaciones.,Todos los estudiantes no tienen acceso a internet en las aulas.,La creación de contenidos educativos y saber manejar diferentes plataformas digitales.,Se pueden aplicar diferentes tipos de evaluación y hacer que la retroalimentación sea inmediata.,Que los jóvenes se vuelvan dependientes y no tengan criterio propio.,INSTITUTO SUPERIOR TECNOLÓGICO LIMÓN
2025-11-06 12:44:03.833,4,1,1,3,2,2,4,4,4,1,5,3,5,5,3,5,5,5,5,5,1,1,1,1,Uso autónomo y regular de TIC en la enseñanza.,"Creación y adaptación de contenidos digitales., Uso de inteligencia artificial y tecnologías emergentes.","Falta de formación docente continua., Escaso apoyo institucional., Resistencia al cambio o cultura digital limitada.",Parcialmente adecuadas.,Totalmente: Las competencias digitales transforman de forma clara los aprendizajes.,Ahorro de tiempo,Conexión a internet,"Conocimiento de la herramienta, ",Trabajo interactivo,Uso desmedido de la IA,INSTITUTO SUPERIOR TECNOLÓGICO DEL AZUAY
2025-11-12 11:31:09.772,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,"Uso limitado, aplica TIC en actividades simples.","Creación y adaptación de contenidos digitales., Comunicación y colaboración digital con estudiantes o colegas.","Infraestructura tecnológica insuficiente, Conectividad limitada.","Sí, totalmente adecuadas., Poco adecuadas.",Poco: El impacto es limitado o depende del contexto.,Simplicar tareas.,Capacitación.,"Manejar las TICs, y usarlo en la práctica docente.",Me han permitido alcanzar grandes experiencias.,Se debería crear herramientas de analisis de IA de forma gratuita.,INSTITUTO SUPERIOR TECNOLÓGICO LIMÓN
2025-11-12 11:50:42.708,4,3,1,2,3,4,4,3,5,4,5,5,5,5,5,5,5,5,5,5,1,1,1,3,Innova con TIC y guía a otros docentes en su uso.,"Creación y adaptación de contenidos digitales., Comunicación y colaboración digital con estudiantes o colegas., Evaluación digital (rúbricas, cuestionarios en línea, retroalimentación digital)., Desarrollo profesional y formación continua en competencias digitales, Uso de inteligencia artificial y tecnologías emergentes.","Infraestructura tecnológica insuficiente, Conectividad limitada., Escaso apoyo institucional., Resistencia al cambio o cultura digital limitada.","Sí, totalmente adecuadas.",Nada: No percibo relación entre competencias digitales y aprendizajes significativos.,aHORRO DE TIEMPO,NINGUNA,USO DE LA IA EN ELA EDUCACION,APRENDIZAJE MAS DIVERTIDO,USO SIN RESTRICCION DE LA IA,INSTITUTO SUPERIOR TECNOLÓGICO DEL AZUAY
2025-11-12 22:00:43.581,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,1,1,1,1,1,1,1,"Uso muy básico de TIC, con apoyo frecuente",Creación y adaptación de contenidos digitales.,Infraestructura tecnológica insuficiente,"Sí, totalmente adecuadas.",Nada: No percibo relación entre competencias digitales y aprendizajes significativos.,Facil uso de las TiCs,La falta de una buena Infrestrucutra Tecnológica.,Contar con las competencias del Marco Común Europero DigComp,"De manera Positiva, ya que permite acceder a varios recursos de la IA.",No hay control en el uso de las herramientas de Inteligencia Artificial en los Estudiantes.,INSTITUTO SUPERIOR TECNOLÓGICO LIMÓN
2025-11-12 22:06:20.408,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,"Uso muy básico de TIC, con apoyo frecuente","Creación y adaptación de contenidos digitales., Evaluación digital (rúbricas, cuestionarios en línea, retroalimentación digital).","Infraestructura tecnológica insuficiente, Conectividad limitada.","Sí, totalmente adecuadas.",Poco: El impacto es limitado o depende del contexto.,Mayor cantidad de recursos,Falta de Capacitación.,Manejar herramientas tecnológicas.,Permite personalizar el aprendeizaje.,Los estudiantes estan perdiendo su capacidad de Análisis,INSTITUTO SUPERIOR TECNOLÓGICO SUCÚA
